num,name,direction,url,lecture,relation,health,seven_days,else,definition
0,愚者,0,https://i.imgur.com/V8CE9eM.jpg,在課業上代表您最近運氣不錯，但也需要努力才能有所收穫喔,在人際關係中代表您最近和大家關係都不錯喔,在健康中代表您最近體力不錯喔,"這張牌代表""坐而言不如起而行""，要付出行動才能有所收穫喔","這張牌代表""坐而言不如起而行""，要付出行動才能有所收穫喔",https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-fool-%E6%84%9A%E8%80%85
0,愚者,1,https://i.imgur.com/Xp10bxZ.jpg,在課業上代表您不太認真，或是有什麼煩惱影響您學習，需要更加小心行事，或是適時審視自己,在人際關係中代表您可能因為無心之過，讓別人對你有不好的印象，需要特別注意,在健康中代表生活過得有些放縱或不規律，需要好好約束自己,這張牌代表您雖然有想法，但卻缺乏動力執行，需要好好的鞭策自己,這張牌代表您雖然有想法，但卻缺乏動力執行，需要好好的鞭策自己,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-fool-%E6%84%9A%E8%80%85
1,魔術師,0,https://i.imgur.com/ii7rmNs.jpg,在課業上代表您最近求知慾十分旺盛，可以稱這個時段好好充實自己喔,在人際關係中代表您最近的人緣十分不錯喔,在健康中代表最近可能要小心過敏的發生喔,這張牌代表您目前很有鬥志和想法，是很適合好好表現自己的時機喔,這張牌代表您目前很有鬥志和想法，是很適合好好表現自己的時機喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-magician-%E9%AD%94%E8%A1%93%E5%B8%AB
1,魔術師,1,https://i.imgur.com/4of8nnX.jpg,在課業上代表要小心因為粗心而犯錯喔,在人際關係中代表可能會在不經意間變得過於驕傲喔,在健康中代表最近可能因為不注意或不小心傷害自己的健康,這張牌代表您最近要腳踏實地，小心翼翼地去做每件事，才能有所表現喔,這張牌代表您最近要腳踏實地，小心翼翼地去做每件事，才能有所表現喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-magician-%E9%AD%94%E8%A1%93%E5%B8%AB
2,女教皇,0,https://i.imgur.com/qcmKQG4.jpg,在課業上代表最近只要努力用功，就能會有好表現喔,在人際關係中代表您最近人緣十分不錯喔,在健康中代表最近可能用腦過度，需要適度的休息,這張牌代表最近在心靈和生活中都能有不一樣的新體會,這張牌代表最近在心靈和生活中都能有不一樣的新體會,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-high-priestess-%E5%A5%B3%E7%A5%AD%E5%8F%B8
2,女教皇,1,https://i.imgur.com/tBMNHaf.jpg,在課業上代表最近可能會因為輕忽題目難度而出錯，需要更小心己甚喔,在人際關係中代表您最近似乎有點太封閉自己了,在健康中代表最近要多注意腸胃健康和心情,這張牌代表最近似乎和周遭有點太疏離囉,這張牌代表最近似乎和周遭有點太疏離囉,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-high-priestess-%E5%A5%B3%E7%A5%AD%E5%8F%B8
3,皇后,0,https://i.imgur.com/7GgNTao.jpg,在課業上代表最近考試會考得不錯喔,在人際關係中代表您最近和同儕的互動會很好喔,在健康中代表您最近身體和精神狀況都不錯喔,這張牌代表雖然最近運勢會不錯，但也不能忘記要好好努力喔,這張牌代表雖然最近運勢會不錯，但也不能忘記要好好努力喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-empress-%E7%9A%87%E5%90%8E
3,皇后,1,https://i.imgur.com/6mJENfS.jpg,在課業上代表可能會過度自信喔,在人際關係中代表可能會因為說錯話或做錯事讓周遭的人對您產生誤會，但自己卻不知道,在健康中代表要注意腸胃和身體姿勢的問題喔,這張牌代表很容易因為不小心或不注意造成損失喔,這張牌代表很容易因為不小心或不注意造成損失喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-empress-%E7%9A%87%E5%90%8E
4,皇帝,0,https://i.imgur.com/tBSwuBy.jpg,在課業上代表您最近學習效果十分不錯喔,在人際關係中代表最近您十分適合擔任領導者喔,在健康中代表可能會因為不小心而受到外傷喔,這張牌代表您目前處於一個很有能力的狀態,這張牌代表您目前處於一個很有能力的狀態,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-emperor-%E7%9A%87%E5%B8%9D
4,皇帝,1,https://i.imgur.com/O0q496P.jpg,在課業上代表您最近要小心面對，就算失敗也要放寬心喔,在人際關係中代表最近可能會因為太堅持己見而和人發生衝突喔,在健康中代表頭部可能會發生外傷喔,這張牌代表您要好好克制自己，不要太固執喔,這張牌代表您要好好克制自己，不要太固執喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-emperor-%E7%9A%87%E5%B8%9D
5,教皇,0,https://i.imgur.com/cB7Gvn5.jpg,在課業上代表您最近能和周遭的人在學業上有良好的互動，所以能獲得好成績喔,在人際關係中代表最近能和周遭的人相處融洽喔,在健康中代表只要維持規律穩定德生活，身體就不會發生問題，另外也要特別小心關節,這張牌代表只要您凡事小心，冷靜，一切就都沒有問題,這張牌代表只要您凡事小心，冷靜，一切就都沒有問題,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-hierophant-%E6%95%99%E7%9A%87
5,教皇,1,https://i.imgur.com/EaZwROg.jpg,在課業上代表您最近可能被其他事物吸引了注意力，或是有逃避的傾向出現喔,在人際關係中要小心因為太過於依賴他人而讓他人有不好的印象喔,在健康中代表最近要小心感冒喔,這張牌代表最近可能會因為把某些是藏在心裡而顯得有些憂鬱，建議可以找個知心好友談談喔,這張牌代表最近可能會因為把某些是藏在心裡而顯得有些憂鬱，建議可以找個知心好友談談喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-hierophant-%E6%95%99%E7%9A%87
6,戀人,0,https://i.imgur.com/FcFQcnY.jpg,在課業上代表您最近正處於頭腦靈活，學習快速的階段，只是要特別小心不專心的情況出現喔,在人際關係中代表最近能建立和人們良性的互動網，要好好利用這個時期喔,在健康中代表最近可能會吃到有些問題的食物，另外也要小心用腦過度喔,這張牌代表最近可能有意外的好收穫喔,這張牌代表最近可能有意外的好收穫喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-lovers-%E6%88%80%E4%BA%BA
6,戀人,1,https://i.imgur.com/m3KCxgl.jpg,在課業上代表最近似乎有點不夠認真和粗心大意呢,在人際關係中可能會因為說話不經過大腦而得罪別人喔,在健康中代表最近可能要小心鼻子及皮膚過敏和用腦過度喔,這張牌代表最近可能會有想偷懶的念頭,這張牌代表最近可能會有想偷懶的念頭,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-lovers-%E6%88%80%E4%BA%BA
7,戰車,0,https://i.imgur.com/ZhQqAXA.jpg,在課業上代表最近特別容易受到感受影響，要十分認真才會有足夠的安全感,在人際關係中代表最近和長輩的關係會十分不錯，但要小心和同儕的相處狀況喔,在健康中代表最近體力似乎變弱了，另外也要多多注意呼吸系統的狀況喔,這張牌代表碰上問題時不要想太多，按照平常心就可以了,這張牌代表碰上問題時不要想太多，按照平常心就可以了,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-chariot-%E6%88%B0%E8%BB%8A
7,戰車,1,https://i.imgur.com/Dt8vaHY.jpg,在課業上代表最近要心平氣和才能有好的成績喔,在人際關係中代表最近似乎過於重視別人的評價，也容易因為一些小口角和周遭的人吵架,在健康中代表最近吃東西要當心外，也要小心呼吸系統喔,這張牌代表最近要小心控制自己的情緒喔,這張牌代表最近要小心控制自己的情緒喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-the-chariot-%E6%88%B0%E8%BB%8A
